electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,New Mexico,Bernalillo County,35001,118139,38,183402,59,95.0,2024-11-06T23:35:35.140000+0000
2024,New Mexico,Catron County,35003,1752,74,571,24,99.0,2024-11-06T23:35:25.537000+0000
2024,New Mexico,Chaves County,35005,15889,72,5940,27,99.0,2024-11-06T23:35:25.157000+0000
2024,New Mexico,Cibola County,35006,4301,48,4427,50,99.0,2024-11-06T04:41:55.357000+0000
2024,New Mexico,Colfax County,35007,3252,56,2436,42,99.0,2024-11-06T05:03:35.120000+0000
2024,New Mexico,Curry County,35009,10619,71,4156,28,99.0,2024-11-06T04:45:25.173000+0000
2024,New Mexico,De Baca County,35011,649,75,206,24,99.0,2024-11-06T05:27:50.110000+0000
2024,New Mexico,Dona Ana County,35013,37245,44,45056,54,95.0,2024-11-06T07:17:45.113000+0000
2024,New Mexico,Eddy County,35015,18092,78,4966,21,99.0,2024-11-06T05:11:40.210000+0000
2024,New Mexico,Grant County,35017,6555,46,7247,51,99.0,2024-11-06T03:22:40.120000+0000
2024,New Mexico,Guadalupe County,35019,945,49,959,50,99.0,2024-11-06T05:24:30.090000+0000
2024,New Mexico,Harding County,35021,297,69,128,30,89.0,2024-11-06T06:13:10.110000+0000
2024,New Mexico,Hidalgo County,35023,1138,61,705,38,95.0,2024-11-06T04:07:35.133000+0000
2024,New Mexico,Lea County,35025,16998,80,3929,19,95.0,2024-11-06T23:35:25.170000+0000
2024,New Mexico,Lincoln County,35027,6906,68,3004,30,95.0,2024-11-06T05:31:50.180000+0000
2024,New Mexico,Los Alamos County,35028,4019,34,7575,63,95.0,2024-11-06T05:26:40.143000+0000
2024,New Mexico,Luna County,35029,4698,58,3174,39,99.0,2024-11-06T23:35:25.263000+0000
2024,New Mexico,McKinley County,35031,9341,36,15655,61,95.0,2024-11-06T06:31:40.077000+0000
2024,New Mexico,Mora County,35033,1007,41,1432,58,99.0,2024-11-06T04:26:40.180000+0000
2024,New Mexico,Otero County,35035,14983,63,8384,35,95.0,2024-11-06T23:35:25.183000+0000
2024,New Mexico,Quay County,35037,2570,70,1055,29,99.0,2024-11-06T23:35:35.187000+0000
2024,New Mexico,Rio Arriba County,35039,6250,39,9323,59,95.0,2024-11-06T06:16:45.133000+0000
2024,New Mexico,Roosevelt County,35041,4670,71,1803,27,99.0,2024-11-06T05:17:35.090000+0000
2024,New Mexico,Sandoval County,35043,36185,46,40569,52,95.0,2024-11-06T23:35:25.563000+0000
2024,New Mexico,San Juan County,35045,34202,65,17386,33,99.0,2024-11-06T05:46:40.087000+0000
2024,New Mexico,San Miguel County,35047,3873,35,6937,63,99.0,2024-11-06T05:06:35.130000+0000
2024,New Mexico,Santa Fe County,35049,20026,25,59327,73,95.0,2024-11-06T06:37:30.117000+0000
2024,New Mexico,Sierra County,35051,3473,58,2332,39,99.0,2024-11-06T23:35:25.123000+0000
2024,New Mexico,Socorro County,35053,3651,51,3384,47,95.0,2024-11-06T23:35:35.200000+0000
2024,New Mexico,Taos County,35055,4115,25,11876,72,99.0,2024-11-06T05:24:05.140000+0000
2024,New Mexico,Torrance County,35057,4879,68,2144,30,99.0,2024-11-06T23:35:25.143000+0000
2024,New Mexico,Union County,35059,1247,75,378,23,99.0,2024-11-06T23:35:25.590000+0000
2024,New Mexico,Valencia County,35061,19040,57,13602,41,95.0,2024-11-06T23:35:25.467000+0000
